station_id,timestamp,latitude,longitude,elevation,azimuth,zenith_wet_delay,temperature,humidity,pressure
GNSS002,2024-01-01T08:00:00Z,34.0522,-118.2437,71.0,220.0,0.219,18.1,49.8,1014.30
GNSS002,2024-01-01T09:00:00Z,34.0522,-118.2437,71.0,225.0,0.227,18.8,49.4,1014.15
GNSS002,2024-01-01T10:00:00Z,34.0522,-118.2437,71.0,230.0,0.235,19.5,49.0,1014.00
GNSS002,2024-01-01T11:00:00Z,34.0522,-118.2437,71.0,235.0,0.231,20.2,48.6,1013.85
GNSS002,2024-01-01T12:00:00Z,34.0522,-118.2437,71.0,240.0,0.223,20.9,48.2,1013.70
GNSS002,2024-01-01T13:00:00Z,34.0522,-118.2437,71.0,245.0,0.215,21.6,47.8,1013.55
GNSS002,2024-01-01T14:00:00Z,34.0522,-118.2437,71.0,250.0,0.207,22.3,47.4,1013.40
GNSS002,2024-01-01T15:00:00Z,34.0522,-118.2437,71.0,255.0,0.199,23.0,47.0,1013.25
GNSS002,2024-01-01T16:00:00Z,34.0522,-118.2437,71.0,260.0,0.191,23.7,46.6,1013.10
GNSS002,2024-01-01T17:00:00Z,34.0522,-118.2437,71.0,265.0,0.188,23.3,47.0,1012.95
GNSS002,2024-01-01T18:00:00Z,34.0522,-118.2437,71.0,270.0,0.185,22.9,47.4,1012.80
GNSS002,2024-01-01T19:00:00Z,34.0522,-118.2437,71.0,275.0,0.182,22.5,47.8,1012.65
GNSS002,2024-01-01T20:00:00Z,34.0522,-118.2437,71.0,280.0,0.179,22.1,48.2,1012.50
GNSS002,2024-01-01T21:00:00Z,34.0522,-118.2437,71.0,285.0,0.181,21.7,48.6,1012.35
GNSS002,2024-01-01T22:00:00Z,34.0522,-118.2437,71.0,290.0,0.183,21.3,49.0,1012.20
GNSS002,2024-01-01T23:00:00Z,34.0522,-118.2437,71.0,295.0,0.185,20.9,49.4,1012.05
GNSS003,2024-01-01T00:00:00Z,41.8781,-87.6298,180.3,180.0,0.221,12.1,58.7,1018.25
GNSS003,2024-01-01T01:00:00Z,41.8781,-87.6298,180.3,185.0,0.223,11.8,59.6,1018.10
GNSS003,2024-01-01T02:00:00Z,41.8781,-87.6298,180.3,190.0,0.225,11.5,60.5,1017.95
GNSS003,2024-01-01T03:00:00Z,41.8781,-87.6298,180.3,195.0,0.222,11.2,61.4,1017.80
GNSS003,2024-01-01T04:00:00Z,41.8781,-87.6298,180.3,200.0,0.216,10.9,62.3,1017.65
GNSS003,2024-01-01T05:00:00Z,41.8781,-87.6298,180.3,205.0,0.228,10.6,63.2,1017.50
GNSS003,2024-01-01T06:00:00Z,41.8781,-87.6298,180.3,210.0,0.240,10.3,64.1,1017.35
GNSS003,2024-01-01T07:00:00Z,41.8781,-87.6298,180.3,215.0,0.252,11.0,63.7,1017.20
GNSS003,2024-01-01T08:00:00Z,41.8781,-87.6298,180.3,220.0,0.264,11.7,63.3,1017.05
GNSS003,2024-01-01T09:00:00Z,41.8781,-87.6298,180.3,225.0,0.276,12.4,62.9,1016.90
GNSS003,2024-01-01T10:00:00Z,41.8781,-87.6298,180.3,230.0,0.288,13.1,62.5,1016.75
GNSS003,2024-01-01T11:00:00Z,41.8781,-87.6298,180.3,235.0,0.284,13.8,62.1,1016.60
GNSS003,2024-01-01T12:00:00Z,41.8781,-87.6298,180.3,240.0,0.276,14.5,61.7,1016.45
GNSS003,2024-01-01T13:00:00Z,41.8781,-87.6298,180.3,245.0,0.268,15.2,61.3,1016.30
GNSS003,2024-01-01T14:00:00Z,41.8781,-87.6298,180.3,250.0,0.260,15.9,60.9,1016.15
GNSS003,2024-01-01T15:00:00Z,41.8781,-87.6298,180.3,255.0,0.252,16.6,60.5,1016.00
GNSS003,2024-01-01T16:00:00Z,41.8781,-87.6298,180.3,260.0,0.244,17.3,60.1,1015.85
GNSS003,2024-01-01T17:00:00Z,41.8781,-87.6298,180.3,265.0,0.241,16.9,60.5,1015.70
GNSS003,2024-01-01T18:00:00Z,41.8781,-87.6298,180.3,270.0,0.238,16.5,60.9,1015.55
GNSS003,2024-01-01T19:00:00Z,41.8781,-87.6298,180.3,275.0,0.235,16.1,61.3,1015.40
GNSS003,2024-01-01T20:00:00Z,41.8781,-87.6298,180.3,280.0,0.232,15.7,61.7,1015.25
GNSS003,2024-01-01T21:00:00Z,41.8781,-87.6298,180.3,285.0,0.234,15.3,62.1,1015.10
GNSS003,2024-01-01T22:00:00Z,41.8781,-87.6298,180.3,290.0,0.236,14.9,62.5,1014.95
GNSS003,2024-01-01T23:00:00Z,41.8781,-87.6298,180.3,295.0,0.238,14.5,62.9,1014.80
GNSS004,2024-01-01T00:00:00Z,29.7604,-95.3698,15.8,180.0,0.312,22.1,78.4,1011.25
GNSS004,2024-01-01T01:00:00Z,29.7604,-95.3698,15.8,185.0,0.315,21.8,79.3,1011.10
GNSS004,2024-01-01T02:00:00Z,29.7604,-95.3698,15.8,190.0,0.318,21.5,80.2,1010.95
GNSS004,2024-01-01T03:00:00Z,29.7604,-95.3698,15.8,195.0,0.314,21.2,81.1,1010.80
GNSS004,2024-01-01T04:00:00Z,29.7604,-95.3698,15.8,200.0,0.306,20.9,82.0,1010.65
GNSS004,2024-01-01T05:00:00Z,29.7604,-95.3698,15.8,205.0,0.322,20.6,82.9,1010.50
GNSS004,2024-01-01T06:00:00Z,29.7604,-95.3698,15.8,210.0,0.338,20.3,83.8,1010.35
GNSS004,2024-01-01T07:00:00Z,29.7604,-95.3698,15.8,215.0,0.354,21.0,83.4,1010.20
GNSS004,2024-01-01T08:00:00Z,29.7604,-95.3698,15.8,220.0,0.370,21.7,83.0,1010.05
GNSS004,2024-01-01T09:00:00Z,29.7604,-95.3698,15.8,225.0,0.386,22.4,82.6,1009.90
GNSS004,2024-01-01T10:00:00Z,29.7604,-95.3698,15.8,230.0,0.402,23.1,82.2,1009.75
GNSS004,2024-01-01T11:00:00Z,29.7604,-95.3698,15.8,235.0,0.398,23.8,81.8,1009.60
GNSS004,2024-01-01T12:00:00Z,29.7604,-95.3698,15.8,240.0,0.390,24.5,81.4,1009.45
GNSS004,2024-01-01T13:00:00Z,29.7604,-95.3698,15.8,245.0,0.382,25.2,81.0,1009.30
GNSS004,2024-01-01T14:00:00Z,29.7604,-95.3698,15.8,250.0,0.374,25.9,80.6,1009.15
GNSS004,2024-01-01T15:00:00Z,29.7604,-95.3698,15.8,255.0,0.366,26.6,80.2,1009.00
GNSS004,2024-01-01T16:00:00Z,29.7604,-95.3698,15.8,260.0,0.358,27.3,79.8,1008.85
GNSS004,2024-01-01T17:00:00Z,29.7604,-95.3698,15.8,265.0,0.355,26.9,80.2,1008.70
GNSS004,2024-01-01T18:00:00Z,29.7604,-95.3698,15.8,270.0,0.352,26.5,80.6,1008.55
GNSS004,2024-01-01T19:00:00Z,29.7604,-95.3698,15.8,275.0,0.349,26.1,81.0,1008.40
GNSS004,2024-01-01T20:00:00Z,29.7604,-95.3698,15.8,280.0,0.346,25.7,81.4,1008.25
GNSS004,2024-01-01T21:00:00Z,29.7604,-95.3698,15.8,285.0,0.348,25.3,81.8,1008.10
GNSS004,2024-01-01T22:00:00Z,29.7604,-95.3698,15.8,290.0,0.350,24.9,82.2,1007.95
GNSS004,2024-01-01T23:00:00Z,29.7604,-95.3698,15.8,295.0,0.352,24.5,82.6,1007.80
GNSS005,2024-01-01T00:00:00Z,33.4484,-112.0740,331.4,180.0,0.128,8.5,32.1,1020.50
GNSS005,2024-01-01T01:00:00Z,33.4484,-112.0740,331.4,185.0,0.130,8.2,33.0,1020.35
GNSS005,2024-01-01T02:00:00Z,33.4484,-112.0740,331.4,190.0,0.132,7.9,33.9,1020.20
GNSS005,2024-01-01T03:00:00Z,33.4484,-112.0740,331.4,195.0,0.129,7.6,34.8,1020.05
GNSS005,2024-01-01T04:00:00Z,33.4484,-112.0740,331.4,200.0,0.123,7.3,35.7,1019.90
GNSS005,2024-01-01T05:00:00Z,33.4484,-112.0740,331.4,205.0,0.135,7.0,36.6,1019.75
GNSS005,2024-01-01T06:00:00Z,33.4484,-112.0740,331.4,210.0,0.147,6.7,37.5,1019.60
GNSS005,2024-01-01T07:00:00Z,33.4484,-112.0740,331.4,215.0,0.159,7.4,37.1,1019.45
GNSS005,2024-01-01T08:00:00Z,33.4484,-112.0740,331.4,220.0,0.171,8.1,36.7,1019.30
GNSS005,2024-01-01T09:00:00Z,33.4484,-112.0740,331.4,225.0,0.183,8.8,36.3,1019.15
GNSS005,2024-01-01T10:00:00Z,33.4484,-112.0740,331.4,230.0,0.195,9.5,35.9,1019.00
GNSS005,2024-01-01T11:00:00Z,33.4484,-112.0740,331.4,235.0,0.191,10.2,35.5,1018.85
GNSS005,2024-01-01T12:00:00Z,33.4484,-112.0740,331.4,240.0,0.183,10.9,35.1,1018.70
GNSS005,2024-01-01T13:00:00Z,33.4484,-112.0740,331.4,245.0,0.175,11.6,34.7,1018.55
GNSS005,2024-01-01T14:00:00Z,33.4484,-112.0740,331.4,250.0,0.167,12.3,34.3,1018.40
GNSS005,2024-01-01T15:00:00Z,33.4484,-112.0740,331.4,255.0,0.159,13.0,33.9,1018.25
GNSS005,2024-01-01T16:00:00Z,33.4484,-112.0740,331.4,260.0,0.151,13.7,33.5,1018.10
GNSS005,2024-01-01T17:00:00Z,33.4484,-112.0740,331.4,265.0,0.148,13.3,33.9,1017.95
GNSS005,2024-01-01T18:00:00Z,33.4484,-112.0740,331.4,270.0,0.145,12.9,34.3,1017.80
GNSS005,2024-01-01T19:00:00Z,33.4484,-112.0740,331.4,275.0,0.142,12.5,34.7,1017.65
GNSS005,2024-01-01T20:00:00Z,33.4484,-112.0740,331.4,280.0,0.139,12.1,35.1,1017.50
GNSS005,2024-01-01T21:00:00Z,33.4484,-112.0740,331.4,285.0,0.141,11.7,35.5,1017.35
GNSS005,2024-01-01T22:00:00Z,33.4484,-112.0740,331.4,290.0,0.143,11.3,35.9,1017.20
GNSS005,2024-01-01T23:00:00Z,33.4484,-112.0740,331.4,295.0,0.145,10.9,36.3,1017.05
